id,category
1,exhibition
2,performance
3,معرض
4,بينالي
5,Music
6,موسيقى
7,Visual art
8,Photography
9,Video art
10,Exposition
11,concert
12,Painting
13,تصوير
14,كولاج
15,Collage
16,عرض أدائي
17,biennial
18,Dance
19,رقص
20,Sculpture
21,نحت
22,Installation
23,Drawing
24,رسم
25,Interview
26,حوار
27,Calligraphy
28,Rehearsal
29,handicraft
30,jewellery
31,woodwork
32,ceramics
33,Festival
34,Sound art
35,lecture
36,opening night
37,digital art
38,Design
39,talk
40,round table
41,presentation
42,interactive performance
43,artist talk
44,Conversation
45,podcast
